# Program:featureCounts v2.0.1; Command:"/opt/subread-2.0.1-Linux-x86_64/bin/featureCounts" "-p" "-T" "10" "-a" "genes/chrX.gtf" "-o" "featurecounts_out/all_featureCountx.txt" "sorted_bam/ERR188044.bam" "sorted_bam/ERR188104.bam" "sorted_bam/ERR188234.bam" "sorted_bam/ERR188245.bam" "sorted_bam/ERR188257.bam" "sorted_bam/ERR188273.bam" "sorted_bam/ERR188337.bam" "sorted_bam/ERR188383.bam" "sorted_bam/ERR188401.bam" "sorted_bam/ERR188428.bam" "sorted_bam/ERR188454.bam" "sorted_bam/ERR204916.bam" 
Geneid	Chr	Start	End	Strand	Length	sorted_bam/ERR188044.bam	sorted_bam/ERR188104.bam	sorted_bam/ERR188234.bam	sorted_bam/ERR188245.bam	sorted_bam/ERR188257.bam	sorted_bam/ERR188273.bam	sorted_bam/ERR188337.bam	sorted_bam/ERR188383.bam	sorted_bam/ERR188401.bam	sorted_bam/ERR188428.bam	sorted_bam/ERR188454.bam	sorted_bam/ERR204916.bam
NM_001271680	chrX;chrX;chrX;chrX	83861126;83869865;83871452;83886552	83861196;83869905;83871570;83886700	+;+;+;+	380	0	0	0	0	0	0	0	0	0	0	0	0
NM_032969	chrX;chrX;chrX;chrX;chrX;chrX	91835461;91876781;92201375;92387735;92468299;92618264	91836044;91879273;92201455;92387933;92468322;92623229	+;+;+;+;+;+	8347	0	0	0	0	0	0	0	0	0	0	0	0
NM_032968	chrX;chrX;chrX;chrX;chrX;chrX;chrX	91835461;91876781;92201375;92263114;92387735;92468299;92618264	91836044;91879273;92201455;92263143;92387933;92468322;92623229	+;+;+;+;+;+;+	8377	0	0	0	0	0	0	0	0	0	0	0	0
NM_021118	chrX;chrX;chrX;chrX;chrX	83861126;83869865;83871452;83872886;83886552	83861199;83869905;83871570;83874631;83886700	+;+;+;+;+	2129	0	0	0	0	0	0	0	0	0	0	0	1
NM_000351	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	7219431;7253196;7257242;7257466;7259349;7275951;7305046;7325339;7333986;7349888	7219686;7253336;7257363;7257588;7259772;7276087;7305183;7325498;7334107;7354641	+;+;+;+;+;+;+;+;+;+	6377	954	1746	1903	457	715	694	1972	731	591	1194	919	1542
NM_013427	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	11137543;11142233;11143980;11156529;11169505;11178100;11179302;11182063;11186236;11188728;11196925;11254548;11664241	11139530;11142313;11144248;11156626;11169684;11178248;11179452;11182118;11186431;11188984;11196996;11254707;11665701	-;-;-;-;-;-;-;-;-;-;-;-;-	5118	0	0	0	0	0	0	0	0	0	0	0	0
NM_000381	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	10445310;10454870;10459646;10469697;10474623;10482480;10495584;10523092;10566888;10620290	10449716;10455077;10459807;10469840;10474750;10482628;10495691;10523187;10567603;10620634	-;-;-;-;-;-;-;-;-;-	6463	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098624	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	10445310;10454870;10459646;10469697;10474623;10482480;10495584;10523092;10566888;10677465	10449716;10455077;10459807;10469840;10474750;10482628;10495691;10523187;10567603;10677739	-;-;-;-;-;-;-;-;-;-	6393	0	0	0	0	0	0	0	0	0	0	0	0
NM_001118886	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	14529298;14532239;14574492;14581183;14604315;14607131;14608991;14690710;14730207	14530125;14532372;14574559;14581406;14604397;14607268;14609205;14690859;14731811	+;+;+;+;+;+;+;+;+	3445	0	0	0	0	0	0	0	0	0	0	0	0
NM_006125	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	11143397;11156529;11169505;11178100;11179302;11182063;11186236;11188728;11196925;11254548;11664241	11144248;11156626;11169684;11178248;11179452;11182118;11186431;11188984;11196996;11254707;11665701	-;-;-;-;-;-;-;-;-;-;-	3632	5	6	7	6	1	3	5	3	11	4	5	12
NM_001193278	chrX;chrX;chrX;chrX;chrX;chrX;chrX	10469265;10474623;10482480;10495584;10501407;10523092;10566888	10469840;10474750;10482628;10495691;10501559;10523187;10567603	-;-;-;-;-;-;-	1926	0	0	0	0	0	0	0	0	0	0	0	0
NM_033290	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	10445310;10454870;10459646;10469697;10474623;10482480;10495584;10523092;10566888;10833554	10449716;10455077;10459807;10469840;10474750;10482628;10495691;10523187;10567603;10833690	-;-;-;-;-;-;-;-;-;-	6255	0	0	0	0	0	0	0	0	0	0	0	0
NM_033289	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	10445310;10454870;10459646;10469697;10474623;10482480;10495584;10523092;10567002;10620290	10449716;10455077;10459807;10469840;10474750;10482628;10495691;10523187;10567603;10620634	-;-;-;-;-;-;-;-;-;-	6349	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193277	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	10445310;10454870;10459646;10469697;10474623;10482480;10495584;10523092;10566888;10576784	10449716;10455077;10459807;10469840;10474750;10482628;10495691;10523187;10567603;10576917	-;-;-;-;-;-;-;-;-;-	6252	0	0	0	0	0	0	0	0	0	0	0	0
NM_014728	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	12138466;12498680;12609721;12614779;12674863;12683483;12686097;12690195;12694335;12701874;12704359;12706826;12707469;12710399;12716069;12717501;12720529	12139012;12498796;12609881;12614881;12674908;12683587;12686204;12690326;12694454;12702010;12704485;12706915;12707651;12710537;12717133;12718790;12724523	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8465	1	1	0	0	1	0	0	1	1	0	0	0
NM_015507	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	13569575;13589556;13594836;13599975;13603317;13606379;13608324;13617730;13619163;13623824;13627011;13632985	13569935;13589668;13594928;13600094;13603436;13606513;13608446;13618053;13619243;13623925;13627276;13633575	+;+;+;+;+;+;+;+;+;+;+;+	2429	0	0	0	0	0	0	0	0	0	0	0	0
NR_109776	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	11137543;11142233;11143980;11148630;11156529;11169505;11178100;11179302;11182063;11186236;11188728;11196925;11254548;11290383;11664241	11139530;11142313;11144248;11148719;11156626;11169684;11178248;11179452;11182118;11186431;11188984;11196996;11254707;11290478;11665701	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5304	0	2	0	3	0	0	1	0	0	0	0	1
NM_002063	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	14529298;14532239;14574333;14581183;14604315;14607131;14608991;14690710;14730207	14530125;14532372;14574400;14581406;14604397;14607268;14609205;14690859;14731811	+;+;+;+;+;+;+;+;+	3445	0	0	0	0	0	0	0	0	0	0	0	0
NM_001118885	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	14529298;14529948;14532239;14574333;14581183;14604315;14607131;14608991;14690710;14730207	14529519;14530125;14532372;14574400;14581406;14604397;14607268;14609205;14690859;14731811	+;+;+;+;+;+;+;+;+;+	3017	0	0	0	0	0	0	0	0	0	0	0	0
NM_001167890	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	13569575;13589556;13594836;13599975;13603317;13606379;13608324;13617730;13619163;13623821;13627011;13632985	13569935;13589668;13594928;13600094;13603436;13606513;13608446;13618053;13619243;13623925;13627276;13633575	+;+;+;+;+;+;+;+;+;+;+;+	2432	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193280	chrX;chrX;chrX;chrX;chrX;chrX	10469265;10474623;10482480;10495584;10523092;10567002	10469840;10474750;10482628;10495691;10523187;10567603	-;-;-;-;-;-	1659	0	0	0	0	0	0	0	0	0	0	0	0
NM_001193279	chrX;chrX;chrX;chrX;chrX;chrX	10469265;10474623;10482480;10495584;10523092;10566888	10469840;10474750;10482628;10495691;10523187;10567603	-;-;-;-;-;-	1773	0	0	0	0	0	0	0	0	0	0	0	0
NM_001171942	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	14529298;14529948;14530972;14532239;14574373;14581183;14604315;14607131;14608991;14690710;14730207	14529519;14530125;14531178;14532372;14574400;14581406;14604397;14607268;14609205;14690859;14731811	+;+;+;+;+;+;+;+;+;+;+	3184	0	1	0	0	0	0	0	0	0	0	0	0
NM_021785	chrX;chrX	17800049;17861098	17802034;17861337	-;-	2226	0	0	0	0	0	0	0	0	0	0	0	0
NR_073010	chrX;chrX;chrX;chrX;chrX;chrX	22259797;22389663;22743229;23064038;23270051;23293014	22259842;22389720;22743338;23064121;23270176;23293146	-;-;-;-;-;-	557	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172743	chrX;chrX;chrX	17800049;17837537;17861098	17802034;17837733;17861337	-;-;-	2423	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172739	chrX;chrX;chrX	17800049;17837537;17861098	17802034;17837730;17861337	-;-;-	2420	0	0	0	0	0	0	0	0	0	0	0	0
NM_001172732	chrX;chrX;chrX	17800049;17801876;17861098	17801725;17802034;17861337	-;-;-	2076	0	0	0	0	0	0	0	0	0	0	0	0
NM_198279	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	19912862;19929785;19935809;19937505;19950753;19952988;19953778;19955391;19965044;19966080;19970224	19917334;19929940;19935898;19937532;19950868;19953051;19953892;19955566;19965706;19966649;19970264	-;-;-;-;-;-;-;-;-;-;-	6492	260	388	226	137	226	93	408	189	282	167	246	203
NR_033349	chrX;chrX	17800049;17860509	17802034;17860827	-;-	2305	0	0	0	0	0	0	0	0	0	0	0	0
NR_033348	chrX;chrX;chrX	17800049;17837537;17860509	17802034;17837730;17860827	-;-;-	2499	0	0	0	0	0	0	0	0	0	0	0	0
NM_004022	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31134102;31146291;31147275;31169443;31172348;31173539;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32155371	31121930;31134194;31146414;31147518;31169601;31172413;31173604;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32155469	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7339	0	0	0	0	0	0	0	0	0	0	0	0
NM_004012	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32216916;32287529;32310082;32342100;32343134;32345943;32348406;32362788;32364582;32365020;32380510;32386310;32389501;32390071;32411752;32412019	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32217063;32287701;32310276;32342282;32343286;32346080;32348528;32362958;32364710;32365199;32380680;32386465;32389674;32390181;32411913;32412254	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9914	0	0	0	0	0	0	0	0	0	0	0	0
NM_004023	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31134102;31146291;31147275;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32155371	31121930;31134194;31146414;31147518;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32155469	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7048	0	0	0	0	0	0	0	0	0	0	0	0
NM_004020	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32155371	31121930;31126673;31134194;31146414;31147518;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32155469	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	7080	0	0	0	0	0	0	0	0	0	0	0	0
NM_000109	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32216916;32287529;32310082;32342100;32343134;32345943;32348406;32362788;32364582;32365020;32380510;32386310;32389501;32390071;32411752;32438241;32441180;32448456;32454662;32463439;32464586;32468498;32472164;32484919;32491277;32501755;32518008;32545159;32565702;32573530;32573745;32595757;32614303;32644132;32644964;32697870;32699112;32809493;32816468;32823295;32844783;32849728;33020139;33339259	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32217063;32287701;32310276;32342282;32343286;32346080;32348528;32362958;32364710;32365199;32380680;32386465;32389674;32390181;32411913;32438390;32441314;32448638;32454832;32463594;32464699;32468710;32472309;32485099;32491518;32501842;32518131;32545334;32565881;32573637;32573846;32595876;32614453;32644313;32645152;32697998;32699293;32809611;32816640;32823387;32844860;32849820;33020200;33339609	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14069	0	0	0	0	0	0	0	0	0	0	0	0
NM_004011	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32216916;32287529;32310082;32342100;32343134;32345943;32348406;32362788;32364582;32365020;32380510;32386310;32389501;32390071;32411752;32412162	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32217063;32287701;32310276;32342282;32343286;32346080;32348528;32362958;32364710;32365199;32380680;32386465;32389674;32390181;32411913;32412254	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9771	0	0	0	0	0	0	0	0	0	0	0	0
NM_004009	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32216916;32287529;32310082;32342100;32343134;32345943;32348406;32362788;32364582;32365020;32380510;32386310;32389501;32390071;32411752;32438241;32441180;32448456;32454662;32463439;32464586;32468498;32472164;32484919;32491277;32501755;32518008;32545159;32565702;32573530;32573745;32595757;32614303;32644132;32644964;32697870;32699112;32809493;32816468;32823295;32844783;32849728;33020139;33128147	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32217063;32287701;32310276;32342282;32343286;32346080;32348528;32362958;32364710;32365199;32380680;32386465;32389674;32390181;32411913;32438390;32441314;32448638;32454832;32463594;32464699;32468710;32472309;32485099;32491518;32501842;32518131;32545334;32565881;32573637;32573846;32595876;32614453;32644313;32645152;32697998;32699293;32809611;32816640;32823387;32844860;32849820;33020200;33128428	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	14000	0	0	0	0	0	0	0	0	0	0	0	0
NM_004006	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31627673;31657990;31679375;31729631;31773960;31819975;31836718;31875191;31929596;31932080;31968339;32216916;32287529;32310082;32342100;32343134;32345943;32348406;32362788;32364582;32365020;32380510;32386310;32389501;32390071;32411752;32438241;32441180;32448456;32454662;32463439;32464586;32468498;32472164;32484919;32491277;32501755;32518008;32545159;32565702;32573530;32573745;32595757;32614303;32644132;32644964;32697870;32699112;32809493;32816468;32823295;32844783;32849728;33020139;33211282	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31627862;31658144;31679586;31729748;31774192;31820083;31836822;31875373;31929745;31932227;31968514;32217063;32287701;32310276;32342282;32343286;32346080;32348528;32362958;32364710;32365199;32380680;32386465;32389674;32390181;32411913;32438390;32441314;32448638;32454832;32463594;32464699;32468710;32472309;32485099;32491518;32501842;32518131;32545334;32565881;32573637;32573846;32595876;32614453;32644313;32645152;32697998;32699293;32809611;32816640;32823387;32844860;32849820;33020200;33211556	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	13993	0	0	0	0	0	0	0	0	0	0	0	0
NM_004014	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	31119228;31126642;31134102;31146291;31147275;31169443;31172348;31173539;31177932;31178669;31180370;31182738;31203961;31206582;31209498;31223047;31260955;31323598;31348556;31444481;31478106;31478983;31496788;31507281;31508208	31121930;31126673;31134194;31146414;31147518;31169601;31172413;31173604;31177970;31178805;31180481;31182904;31204118;31206667;31209699;31223121;31261016;31323658;31348634;31444627;31478374;31479103;31496944;31507453;31508298	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5623	0	0	0	0	0	0	0	0	0	0	0	0
